"id","item_name","action","field_name","old_value","new_value","changed_by","device_id","timestamp"
"1","NM","view_category","category_opened","","NM","hilvait","DEV-3QQTFB","2026-03-09 19:27:07.27651"
"2","LADY","view_category","category_opened","","LADY","hilvait","DEV-3RD4GJ","2026-03-09 19:27:08.555995"
"3","A01","edit","all","","A01","hilvait","DEV-45OKT0","2026-03-09 19:27:13.744808"
"4","Historia","view_category","category_opened","","Historia","hilvait","DEV-47611Y","2026-03-09 19:27:15.719415"
"5","NM","view_category","category_opened","","NM","hilvait","DEV-97LG8I","2026-03-09 20:14:08.46496"
"6","Historia","view_category","category_opened","","Historia","hilvait","DEV-96K9NV","2026-03-09 20:14:10.225333"
"7","NM","view_category","category_opened","","NM","hilvait","DEV-WV73NV","2026-03-09 20:18:24.605876"
"8","Historia","view_category","category_opened","","Historia","hilvait","DEV-WWAR2O","2026-03-09 20:18:26.32137"
"9","LADY","view_category","category_opened","","LADY","hilvait","DEV-YBDQKB","2026-03-09 20:18:56.087775"
"10","A01","edit","all","","A01","hilvait","DEV-YQ7IA6","2026-03-09 20:19:02.018454"
"11","Historia","view_category","category_opened","","Historia","hilvait","DEV-YRDL0W","2026-03-09 20:19:04.388347"
"12","LADY","view_category","category_opened","","LADY","hilvait","DEV-YUNH5E","2026-03-09 20:19:34.05646"
"13","A01","edit","all","","A01","hilvait","DEV-YRAVOV","2026-03-09 20:19:40.323658"
"14","NM","view_category","category_opened","","NM","hilvait","DEV-YEMAL4","2026-03-09 20:19:42.547554"
"15","LADY","view_category","category_opened","","LADY","hilvait","DEV-YDJ706","2026-03-09 20:19:44.518353"
"16","Historia","view_category","category_opened","","Historia","hilvait","DEV-YCFSMV","2026-03-09 20:19:46.212779"
"17","LADY","view_category","category_opened","","LADY","hilvait","DEV-YBUOF1","2026-03-09 20:19:47.640245"
"18","A01","edit","all","","A01","hilvait","DEV-NF9K1D","2026-03-09 20:20:08.672524"
"19","Historia","view_category","category_opened","","Historia","hilvait","DEV-NE7VVT","2026-03-09 20:20:10.151069"
"20","LADY","view_category","category_opened","","LADY","hilvait","DEV-N22ILZ","2026-03-09 20:20:11.657862"
"21","NM","view_category","category_opened","","NM","hilvait","DEV-CHGNKM","2026-03-09 21:00:18.701357"
"22","Historia","view_category","category_opened","","Historia","hilvait","DEV-CIFRYY","2026-03-09 21:00:19.681928"
"23","LADY","view_category","category_opened","","LADY","hilvait","DEV-CULSXA","2026-03-09 21:00:21.082185"
"24","NM","view_category","category_opened","","NM","hilvait","DEV-CV4C8K","2026-03-09 21:00:21.908041"
"25","NM","view_category","category_opened","","NM","hilvait","DEV-95QYTQ","2026-03-09 21:02:16.467911"
"26","LADY","view_category","category_opened","","LADY","hilvait","DEV-BAGH4B","2026-03-09 21:06:22.597054"
"27","NM","view_category","category_opened","","NM","hilvait","DEV-20GB14","2026-03-09 21:07:35.335988"
"28","NM","view_category","category_opened","","NM","hilvait","DEV-FRU8DA","2026-03-09 21:08:57.27479"
"29","NM","view_category","category_opened","","NM","hilvait","DEV-RCNU2R","2026-03-09 21:11:45.479729"
"30","NM","view_category","category_opened","","NM","hilvait","DEV-NJR32J","2026-03-09 21:13:06.249439"
"31","NM","view_category","category_opened","","NM","hilvait","DEV-2EVXAX","2026-03-09 21:15:10.923713"
"32","NM","view_category","category_opened","","NM","hilvait","DEV-10SVLD","2026-03-09 21:20:46.337759"
"33","NM","view_category","category_opened","","NM","hilvait","DEV-E8VOIL","2026-03-09 21:21:53.999747"
"34","LADY","view_category","category_opened","","LADY","hilvait","DEV-PQM6Z2","2026-03-10 07:19:35.32267"
"35","NM","view_category","category_opened","","NM","hilvait","DEV-PRPUEQ","2026-03-10 07:19:35.464586"
"36","LADY","view_category","category_opened","","LADY","admin","DEV-EERG4K","2026-03-10 07:20:01.157055"
"37","A30","edit","all","A01","A30","admin","DEV-DCRQ77","2026-03-10 07:20:28.829207"
"38","A30","edit","all","A01","A30","admin","DEV-CG9TS5","2026-03-10 07:20:46.108259"
"39","NM","view_category","category_opened","","NM","admin","DEV-UK2QUY","2026-03-10 07:25:21.105356"
"40","LADY","view_category","category_opened","","LADY","admin","DEV-ULQ3WC","2026-03-10 07:25:23.828206"
"41","NM","view_category","category_opened","","NM","admin","DEV-EJF0D7","2026-03-10 08:47:40.945616"
"42","NM","view_category","category_opened","","NM","admin","DEV-3X2656","2026-03-10 09:40:40.184079"
"43","LADY","view_category","category_opened","","LADY","admin","DEV-4A74RV","2026-03-10 09:40:42.133791"
"44","NM","view_category","category_opened","","NM","admin","DEV-4QQ8QN","2026-03-10 09:40:51.438042"
"45","LADY","view_category","category_opened","","LADY","admin","DEV-4RA4WB","2026-03-10 09:40:52.397759"
"46","NM","view_category","category_opened","","NM","admin","DEV-4RTWVA","2026-03-10 09:40:53.395574"
"47","LADY","view_category","category_opened","","LADY","admin","DEV-5O9PLS","2026-03-10 09:41:10.17919"
"48","NM","view_category","category_opened","","NM","admin","DEV-WS6NCK","2026-03-10 09:43:48.376885"
"49","LADY","view_category","category_opened","","LADY","admin","DEV-Y6B52H","2026-03-10 09:44:16.428977"
"50","NM","view_category","category_opened","","NM","admin","DEV-7N0A9C","2026-03-10 10:01:01.976272"
"51","LADY","view_category","category_opened","","LADY","admin","DEV-7L8FKK","2026-03-10 10:01:04.936621"
"52","NM","view_category","category_opened","","NM","admin","DEV-733Z9Q","2026-03-10 10:02:44.354633"
"53","LADY","view_category","category_opened","","LADY","admin","DEV-7J3WMI","2026-03-10 10:02:52.700978"
"54","NM","view_category","category_opened","","NM","admin","DEV-RYFIA1","2026-03-10 10:03:26.743086"
"55","LADY","view_category","category_opened","","LADY","admin","DEV-RXA61F","2026-03-10 10:03:29.06717"
"56","NM","view_category","category_opened","","NM","admin","DEV-MCJ4IO","2026-03-10 11:11:45.376197"
"57","LADY","view_category","category_opened","","LADY","admin","DEV-ME6I5L","2026-03-10 11:11:46.816014"
"58","A30","edit","all","","A30","admin","DEV-PN81OC","2026-03-10 11:12:53.542168"
"59","A30","edit","all","","A30","admin","DEV-Q6ZCDB","2026-03-10 11:13:07.43366"
"60","NM","view_category","category_opened","","NM","Adrianna","DEV-G93K2N","2026-03-10 12:42:29.215938"
"61","LADY","view_category","category_opened","","LADY","admin","DEV-L3NBPR","2026-03-10 14:57:38.019794"
"62","A666","add","new_item","","LADY","admin","DEV-K4F99U","2026-03-10 14:58:00.476487"
"63","A666","delete","all","","","admin","DEV-JOHU6W","2026-03-10 14:58:08.50207"
"64","NM","view_category","category_opened","","NM","admin","DEV-MDSC2A","2026-03-10 15:02:23.492661"
"65","NM","view_category","category_opened","","NM","admin","DEV-KQDMAJ","2026-03-10 15:11:15.410177"
"66","NM","view_category","category_opened","","NM","hilvait","DEV-7WH4BB","2026-03-10 15:12:18.175623"
"67","Historia","view_category","category_opened","","Historia","hilvait","DEV-7HNAR5","2026-03-10 15:12:24.375093"
"68","NM","view_category","category_opened","","NM","hilvait","DEV-WLGKYG","2026-03-10 15:18:04.140234"
"69","Historia","view_category","category_opened","","Historia","hilvait","DEV-WKBKMO","2026-03-10 15:18:06.247762"
"70","NM","view_category","category_opened","","NM","hilvait","DEV-KPKQI5","2026-03-10 15:18:47.489024"
"71","Historia","view_category","category_opened","","Historia","hilvait","DEV-K7EYY7","2026-03-10 15:18:59.562769"
"72","NM","view_category","category_opened","","NM","hilvait","DEV-JX53LW","2026-03-10 15:21:04.020234"
"73","Historia","view_category","category_opened","","Historia","hilvait","DEV-JXSTUR","2026-03-10 15:21:05.369434"
"74","NM","view_category","category_opened","","NM","hilvait","DEV-7I6C8O","2026-03-10 15:25:56.89476"
"75","Historia","view_category","category_opened","","Historia","hilvait","DEV-7HL3VV","2026-03-10 15:25:58.169392"
"76","LADY","view_category","category_opened","","LADY","hilvait","DEV-LW92NP","2026-03-10 15:29:20.445916"
"77","NM","view_category","category_opened","","NM","hilvait","DEV-Y0JFE7","2026-03-10 15:31:07.673866"
"78","Historia","view_category","category_opened","","Historia","hilvait","DEV-XZYBXX","2026-03-10 15:31:08.931709"
"79","NM","view_category","category_opened","","NM","hilvait","DEV-9VVF48","2026-03-10 15:38:40.249141"
"80","Historia","view_category","category_opened","","Historia","hilvait","DEV-9JPDZ0","2026-03-10 15:38:41.334239"
"81","NM","view_category","category_opened","","NM","hilvait","DEV-JE81WT","2026-03-10 15:41:55.084935"
"82","NM","view_category","category_opened","","NM","hilvait","DEV-4RJCLZ","2026-03-10 15:47:55.837828"
"83","NM","view_category","category_opened","","NM","hilvait","DEV-WMSPBA","2026-03-10 15:52:39.899712"
