"name","quantity","ilosc","description","photo_url","wysokosc","szerokosc","glebokosc","data_wyjazdu","stan","updatedat","linknadysk","category","updatedby","deviceid","stoisko"
"A01","Barowa","1","inne pliki na google drive","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1770880820/lada_barowa_vegdeb.png","102.5","190","80",,"0","2026-02-12T07:40:51.294Z","https://drive.google.com/drive/folders/1UofFoPUub3g7KOhu1q4ADXaE0_vkX7FG?usp=drive_link","LADY","admin","DEV-8R8981","Bilologikal CPHI"
"A02","Recepcija","1","inne pliki na google drive 3.11.25","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1770880838/lada_recepcija_pwdmao.png","100","140","100",,"0","2026-02-12T07:40:44.526Z","https://drive.google.com/drive/folders/1nDdWHMzgB9svabPe31XIhMZ1qIGLt3PR?usp=drive_link","LADY","admin","DEV-8BVSFD","Biologikal CPHI"
"A03","Recepcija + Stoly","1","inne pliki na google drive 3.11.25","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1770881726/lada_cybq2l.png","100","140","140",,"0","2026-02-12T07:42:38.255Z","https://drive.google.com/drive/folders/1frgvqtz4UjaEMNUDRGOZ6uj6zLuXw9e_?usp=drive_link","LADY","admin","DEV-NJH0NO","Medialux CPHI"
"A04","Lada (CPHI)","1","Pliki na google drive 7.11.25","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1770882405/lada1_tlh84x.png","100","165","204",,"0","2026-02-12T07:47:14.878Z","https://drive.google.com/drive/folders/1cJe-uJvPKECWJWaXs5og5VOTZNb7mhTe?usp=drive_link","LADY","admin","DEV-4GMQC2","Colorkon"
"A05","dwie lady i fryz","1","dwie lady i fryz wszystko na google drive","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1770882546/lada_2_ahko3p.png","0","0","0",,"0","2026-02-12T07:49:58.991Z","https://drive.google.com/drive/folders/1b143ND4w6lPni64rqHDnsKj-mqPwVhYC?usp=drive_link","LADY","admin","DEV-D494XH","Univar CPHI"
"E001","Ekspres de'longhi",,"kremowy na małe kapsułki Nespresso","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1752488643/E001_z7ubf7.jpg",,,,"Plant Lipids","Wyjechało",,"https://drive.google.com/drive/folders/1P_uJdgYSS6C9x7fCsbER5N0vEL6JecoI?usp=drive_link","Ekspresy",,,
"E002","Ekspres de'longhi",,"ocena 5/5 nowy Ekspres de'longhi srebrny z młynkiem i pieniaczem mleka","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1752651884/E002_qkvqwt.jpg",,,,"*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1rh13e_g_WO7AXWTTQgu46QbhrDg55KQp?usp=drive_link","Ekspresy",,,
"E003","Ekspres de'longhi",,"ocena 5/5 nowy Ekspres de'longhi srebrny z młynkiem i pieniaczem mleka","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999413/E003_bopmp5.jpg",,,,"*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1ZU2dI1ih4XGBmXre4Ddw_JWxvALm6usP?usp=drive_link","Ekspresy",,,
"E004","Ekspres Philips",,"ocena 5/5 nowy Ekspres Philips czarny z młynkiem i spieniaczem mleka","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1752651885/E004_o8ixlz.jpg",,,,"*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1mXjacHmV_T1UHo0kxCSrL5DE_F3UYvAb?usp=drive_link","Ekspresy",,,
"E005","Ekspres de'longhi",,"ocena 5/5 Ekspres de'longhi magnifica start czarny z młynkiem i pieniaczem mleka","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1759999409/E005_pwnc8y.jpg",,,,"*tutaj musisz wpisać date*","Nie wiadomo(tymczasowo)",,"https://drive.google.com/drive/folders/1Uit9SmNKWP13slbcMixPaqrO54Z3soXa?usp=drive_link","Ekspresy",,,
